"","hs"
"267",4.19200019910932
"268",4.0820001938846
"269",4.32733353887064
"270",4.76533355967452
"271",5.56000026408583
"272",6.3960003037937
"273",6.71266698550123
"274",6.50200030882843
"275",6.14466695852267
"276",5.81733360964184
"277",5.53666692964422
"278",5.30066691843482
"279",5.11133357610864
"280",5.0093335712639
"281",4.91066689991082
"282",4.76000022608787
"283",4.60000021848828
"284",4.41466687635208
"285",4.20533353307595
"286",4.02400019112974
"287",3.87400018400513
"288",3.65733350704735
"289",3.38933349431803
"290",3.11733348139872
"291",2.9166668052009
"292",2.75733346429964
"293",2.56000012159348
"294",2.34600011142902
"295",2.25200010696426
"296",2.41400011465885
"297",2.89533347085429
"298",3.41933349574295
"299",3.81466684785361
"300",3.9366668536483
"301",3.88866685136842
"302",3.91533351930169
"303",3.92466685307833
"304",3.80666684747363
"305",3.61400017165579
"306",3.46333349783284
"307",3.38600016082637
"308",3.33200015826151
"309",3.24266682068507
"310",3.16800015047193
"311",3.18533348462855
"312",3.23933348719341
"313",3.18733348472354
"314",3.12000014819205
"315",3.11933348149372
"316",3.2053334855785
"317",3.20733348567349
"318",3.08066681299048
"319",3.02866681052061
"320",3.23866682049508
"321",3.50333349973274
"322",3.55333350210761
"323",3.39533349460301
"324",3.140000149142
"325",2.88066680349099
"326",2.60466679038169
"327",2.3940001137089
"328",2.26733344102589
"329",2.14133343504121
"330",2.00666676197822
"331",2.08400009898469
"332",2.24533343998094
"333",2.18866677062275
"334",2.14933343542119
"335",2.17133343646613
"336",2.18133343694111
"337",2.14133343504121
"338",2.0673334315264
"339",2.03333342991148
"340",2.07466676520805
"341",2.13400010135956
"342",2.08933343257134
"343",2.08066676549303
"344",2.23066677261765
"345",2.46200011693873
"346",2.64133345878993
"347",2.69466679465647
"348",2.65666679285156
"349",2.50000011874363
"350",2.39733344720056
"351",2.3666667790773
"352",2.29133344216583
"353",2.1580001024995
"354",2.05333343086143
"355",1.99333342801159
"356",1.92466675808343
"357",1.81800008635037
"358",1.70933341452231
"359",1.66800007922575
"360",1.67133341271741
"361",1.65133341176746
"362",1.84866675447362
"363",2.79333346600955
"364",3.55533350220261
"365",3.4920001658611
"366",3.02866681052061
"367",2.615333457555
"368",2.30266677603746
"369",2.06133343124141
"370",1.82600008673035
"371",1.5973334092026
"372",1.41066673366974
"373",1.30733339542833
"374",1.24200005899183
"375",1.19133338991863
"376",1.178000055952
"377",1.17200005566701
"378",1.17733338925367
"379",1.1653333886837
"380",1.16133338849371
"381",1.17133338896868
"382",1.1380000540521
"383",1.08266671809057
"384",1.02866671552571
"385",1.02400004863739
"386",1.22266672474022
"387",1.72733341537726
"388",2.37266677936229
"389",2.80000013299286
"390",3.2306668201151
"391",3.75000017811544
"392",4.19933353279096
"393",4.32266687198232
"394",4.19333353250598
"395",3.95666685459825
"396",3.71133350961221
"397",3.44333349688289
"398",3.14600014942698
"399",2.91000013821758
"400",2.9020001378376
"401",3.14333348263366
"402",3.58933350381752
"403",4.23333353440588
"404",4.62400021962821
"405",4.72466689107629
"406",5.09466690865035
"407",5.03266690570551
"408",4.47333354580527
"409",3.9766668555482
"410",3.62533350552743
"411",3.30666682372491
"412",2.99533347560403
"413",2.75200013071299
"414",2.55600012140349
"415",2.67933346059484
"416",3.09400014695711
"417",3.35800015949644
"418",3.4246668293296
"419",3.40800016187131
"420",3.37866682714472
"421",3.30600015702657
"422",3.20266681878517
"423",3.13666681565034
"424",3.17866681764523
"425",3.26600015512668
"426",3.46400016453117
"427",3.64200017298572
"428",3.58133350343754
"429",3.55133350201262
"430",3.51800016709603
"431",3.56866683616924
"432",3.8566668498485
"433",4.28733353697074
"434",4.82666689592103
"435",5.08266690808038
"436",4.9566669020957
"437",4.78466689392614
"438",4.51466688110183
"439",4.09066686096291
"440",3.71066684291388
"441",3.32666682467485
"442",3.02466681033062
"443",2.8493334686694
"444",2.69466679465647
"445",2.44266678268711
"446",2.28933344207083
"447",2.39133344691557
"448",2.72200012928806
"449",3.09333348025878
"450",3.4920001658611
"451",3.65266684015902
"452",3.54000016814098
"453",3.33800015854649
"454",3.21066681916515
"455",3.14266681593532
"456",3.00800014287233
"457",2.98266680833573
"458",3.11466681460539
"459",3.17000015056692
"460",3.16466681698027
"461",3.04800014477223
"462",2.92866680577087
"463",2.88200013688765
"464",2.82266680073614
"465",2.65600012615323
"466",2.49333345176031
"467",2.40066678069221
"468",2.35266677841234
"469",2.22200010553934
"470",2.03000009641983
"471",1.8966667567535
"472",1.85066675456862
"473",1.86533342193191
"474",1.8820000893902
"475",1.98866676112326
"476",2.10400009993464
"477",2.14133343504121
"478",2.07466676520805
"479",2.01333342896154
"480",2.02466676283317
"481",2.04066676359313
"482",1.93600009195507
"483",1.87333342231189
"484",1.96400009328499
"485",2.23333343941097
"486",2.25866677394758
"487",2.23666677290263
"488",2.31266677651244
"489",2.45600011665374
"490",2.50533345233028
"491",2.45600011665374
"492",2.45533344995541
"493",2.57466678895677
"494",2.66000012634322
"495",2.63266679171162
"496",2.56133345499014
"497",2.52866678677189
"498",2.5100001192186
"499",2.52533345328023
"500",2.5753334556551
"501",2.59600012330338
"502",2.58200012263842
"503",2.49466678515698
"504",2.36800011247396
"505",2.25200010696426
"506",2.13533343475622
"507",2.06666676482807
"508",2.10133343314131
"509",2.3013334426408
"510",2.69933346154479
"511",3.12066681489038
"512",3.37733349374806
"513",3.56733350277257
"514",3.7553335117021
"515",3.76333351208208
"516",3.59800017089583
"517",3.39400016120635
"518",3.23466682030509
"519",3.13333348215868
"520",3.0220001435373
"521",2.83066680111612
"522",2.61600012425333
"523",2.48933345157032
"524",2.40200011408888
"525",2.27800010819919
"526",2.13133343456623
"527",2.05800009774975
"528",2.07866676539804
"529",2.11666676720294
"530",2.14733343532619
"531",2.25666677385258
"532",2.40400011418387
"533",2.46400011703372
"534",2.43666678240212
"535",2.40000011399388
"536",2.35933344539565
"537",2.29266677556249
"538",2.23400010610931
"539",2.21266677176269
"540",2.20600010477938
"541",2.20066677119272
"542",2.24133343979095
"543",2.33600011095405
"544",2.45466678325708
"545",2.54600012092851
"546",2.60533345708003
"547",2.67466679370652
"548",2.76200013118796
"549",2.78666679902623
"550",2.72133346258973
"551",2.62266679123665
"552",2.60933345727002
"553",2.61666679095166
"554",2.54266678743685
"555",2.40133344739055
"556",2.31200010981411
"557",2.25533344045592
"558",2.17400010325946
"559",2.08600009907968
"560",2.15533343570617
"561",2.53866678724686
"562",3.00400014268234
"563",3.26733348852334
"564",3.33200015826151
"565",3.31800015759654
"566",3.25466682125504
"567",3.16133348348861
"568",3.13200014876202
"569",3.22733348662344
"570",3.38000016054139
"571",3.532000167761
"572",3.45533349745286
"573",3.43666682989957
"574",3.48466683217945
"575",3.54333350163264
"576",3.63200017251074
"577",3.66666684082399
"578",3.61600017175078
"579",3.46133349773784
"580",3.30333349023325
"581",3.22933348671844
"582",3.12200014828704
"583",2.95600014040247
"584",2.79066679921622
"585",2.71000012871809
"586",2.63333345840996
"587",2.5100001192186
"588",2.40800011437386
"589",2.43933344919545
"590",2.53533345375521
"591",2.57066678876678
"592",2.5100001192186
"593",2.52066678639191
"594",2.57133345546511
"595",2.59266678981173
"596",2.56200012168847
"597",2.54000012064353
"598",2.51800011959858
"599",2.47800011769868
"600",2.4193334482455
"601",2.39733344720056
"602",2.4593334501454
"603",2.53000012016855
"604",2.52533345328023
"605",2.54733345432517
"606",2.6426667921866
"607",2.66133345973988
"608",2.50066678544196
"609",2.33000011066906
"610",2.24666677337761
"611",2.15733343580117
"612",1.97266676036331
"613",1.78466675143378
"614",1.66600007913075
"615",1.60200007609092
"616",1.54666674012939
"617",1.50000007124618
"618",1.51666673870447
"619",1.60266674278925
"620",1.68933341357236
"621",1.77133341746715
"622",1.75933341689718
"623",1.73266674896392
"624",1.73400008236058
"625",1.78533341813212
"626",1.77133341746715
"627",1.71800008160062
"628",1.73533341575724
"629",1.81200008606538
"630",1.78266675133879
"631",1.68533341338237
"632",1.61800007685088
"633",1.65466674525912
"634",1.83733342060198
"635",2.13666676815289
"636",2.40800011437386
"637",2.60933345727002
"638",2.81933346724448
"639",2.63133345831496
"640",2.48400011798367
"641",2.35733344530066
"642",2.225333439031
"643",2.08600009907968
"644",1.960000093095
"645",1.85800008825026
"646",1.79800008540042
"647",1.7786667511488
"648",1.77533341765714
"649",1.81400008616038
"650",1.94333342563671
"651",2.11333343371128
"652",2.30600010952912
"653",2.46866678392204
"654",2.57800012244843
"655",2.66600012662821
"656",2.69866679484646
"657",2.67000012681819
"658",2.64866679247158
"659",2.65200012596324
"660",2.6553334594549
"661",2.67800012719817
"662",2.70533346182977
"663",2.71600012900308
"664",2.7333334631597
"665",2.76800013147295
"666",2.74400013033301
"667",2.67800012719817
"668",2.63733345859995
"669",2.57600012235343
"670",2.47266678411203
"671",2.42066678164216
"672",2.39133344691557
"673",2.35666677860233
"674",2.30733344292579
"675",2.24933344017093
"676",2.20933343827104
"677",2.12200010078959
"678",2.0126667622632
"679",1.92933342497175
"680",1.87933342259688
"681",1.82800008682534
"682",1.72400008188561
"683",1.61733341015254
"684",1.55133340701771
"685",1.43066673461969
"686",1.29000006127171
"687",1.2160000577569
"688",1.23666672540518
"689",1.22666672493021
"690",1.26666672683011
"691",1.43800006830133
"692",1.66933341262241
"693",1.93200009176508
"694",2.13733343485122
"695",2.28000010829419
"696",2.42666678192715
"697",2.53066678686688
"698",2.58000012254342
"699",2.59200012311339
"700",2.62533345802998
"701",2.56200012168847
"702",2.40933344777053
"703",2.31666677670243
"704",2.35933344539565
"705",2.38666678002725
"706",2.33466677755738
"707",2.29333344226082
"708",2.41733344815051
"709",2.54000012064353
"710",2.38333344653559
"711",2.22133343884101
"712",2.19133343741608
"713",2.36000011209399
"714",2.98866680862072
"715",3.85400018305518
"716",4.33200020575896
"717",4.6446668872765
"718",4.80600022827275
"719",4.88466689867588
"720",4.87400023150258
"721",4.96066690228569
"722",5.75733360679199
"723",6.78133365542938
"724",6.73800032003783
"725",6.58266697932656
"726",6.62066698113146
"727",6.56800031196326
"728",6.30666696621726
"729",6.13133362455604
"730",5.84533361097177
"731",6.06133362123122
"732",6.29800029913895
"733",6.28333363177565
"734",5.97000028355978
"735",5.75000027311035
"736",5.93266694845321
"737",5.51466692859928
"738",4.92800023406744
"739",4.46466687872695
"740",4.06066685953798
"741",3.71733350989719
"742",3.66333350733233
"743",3.96066685478824
"744",4.06400019302964
"745",4.03800019179471
"746",4.15333353060608
"747",4.46333354533029
"748",4.78666689402113
"749",4.99066690371061
"750",5.5193335954876
"751",5.30733358541814
"752",4.98466690342563
"753",4.71666689069631
"754",4.7986668945911
"755",5.26200024993159
"756",5.15533357819853
"757",5.12466691007527
"758",5.12933357696359
"759",5.2580002497416
"760",5.24200024898164
"761",5.32066691938477
"762",5.61133359985736
"763",5.84466694427344
"764",5.58533359862243
"765",4.99600023729727
"766",4.49266688005688
"767",4.27400020300411
"768",4.27466686970244
"769",4.36533354067554
"770",4.58800021791831
"771",4.67800022219308
"772",4.87600023159757
"773",4.9186669002908
"774",5.01400023815222
"775",5.00400023767725
"776",4.64066688708651
"777",4.22133353383591
"778",3.79866684709365
"779",3.48066683198946
"780",3.23133348681343
"781",3.05533347845388
"782",2.96066680729079
"783",3.09666681375044
"784",3.53933350144265
"785",4.43666687739703
"786",4.70200022333302
"787",4.59400021820329
"788",4.62000021943823
"789",4.84466689677599
"790",4.93933356793908
"791",5.18600024632178
"792",5.31466691909979
"793",5.04666690637047
"794",4.92533356727411
"795",5.04600023967214
"796",5.38266692232961
"797",5.76866694066363
"798",5.13066691036026
"799",4.25533353545082
"800",3.7026668425339
"801",3.31333349070822
"802",3.01933347674397
"803",2.68533346087982
"804",2.3013334426408
"805",2.07133343171639
"806",2.01866676254819
"807",1.93200009176508
"808",1.87733342250188
"809",1.70333341423733
"810",1.48600007058121
"811",1.33466673005993
